name_or_code,code,count,sample1
Icewind Dale: Rime of the Frostmaiden p. 264,ID:RF,1,Icewind Dale: Rime of the Frostmaiden p. 264
Icewind Dale: Rime of the Frostmaiden p. 149,ID:RF,1,Icewind Dale: Rime of the Frostmaiden p. 149
Tasha's Cauldron of Everything p. 124,TCE,1,Tasha's Cauldron of Everything p. 124
Tasha's Cauldron of Everything p. 125,TCE,1,Tasha's Cauldron of Everything p. 125
"Tasha's Cauldron of Everything p. 131,",TCE,1,"Tasha's Cauldron of Everything p. 131,"
Van Richten's Guide to Ravenloft p. 137,VRGR,1,Van Richten's Guide to Ravenloft p. 137
Van Richten's Guide to Ravenloft p. 83,VRGR,1,Van Richten's Guide to Ravenloft p. 83
Van Richten's Guide to Ravenloft p. 36,VRGR,1,Van Richten's Guide to Ravenloft p. 36
Fizban's Treasury of Dragons p. 22,FTD,1,Fizban's Treasury of Dragons p. 22
Fizban's Treasury of Dragons p. 26,FTD,1,Fizban's Treasury of Dragons p. 26
Strixhaven: A Curriculum of Chaos p. 174,SCC,1,Strixhaven: A Curriculum of Chaos p. 174
Strixhaven: A Curriculum of Chaos p. 127,SCC,1,Strixhaven: A Curriculum of Chaos p. 127
Strixhaven: A Curriculum of Chaos p. 126,SCC,1,Strixhaven: A Curriculum of Chaos p. 126
"Critical Role: Call of the Netherdeep p. 212,",CR:CN,1,"Critical Role: Call of the Netherdeep p. 212,"
Critical Role: Call of the Netherdeep p. 212,CR:CN,1,Critical Role: Call of the Netherdeep p. 212
Critical Role: Call of the Netherdeep p. 213,CR:CN,1,Critical Role: Call of the Netherdeep p. 213
Critical Role: Call of the Netherdeep p. 215,CR:CN,1,Critical Role: Call of the Netherdeep p. 215
Critical Role: Call of the Netherdeep p. 216,CR:CN,1,Critical Role: Call of the Netherdeep p. 216
Critical Role: Call of the Netherdeep p. 162,CR:CN,1,Critical Role: Call of the Netherdeep p. 162
Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 21,SAS,1,Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 21
Spelljammer: Adventures in Space - Light of Xaryxis p. 35,SAS,1,Spelljammer: Adventures in Space - Light of Xaryxis p. 35
Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 26,SAS,1,Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 26
Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 28,SAS,1,Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 28
Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 30,SAS,1,Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 30
Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 32,SAS,1,Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 32
Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 34,SAS,1,Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 34
Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 36,SAS,1,Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 36
Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 38,SAS,1,Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 38
Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 40,SAS,1,Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 40
Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 42,SAS,1,Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 42
Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 44,SAS,1,Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 44
Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 46,SAS,1,Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 46
Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 48,SAS,1,Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 48
Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 50,SAS,1,Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 50
Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 52,SAS,1,Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 52
Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 54,SAS,1,Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 54
Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 56,SAS,1,Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 56
Keys from the Golden Vault p. 207,KGV,1,Keys from the Golden Vault p. 207
Keys from the Golden Vault p. 101,KGV,1,Keys from the Golden Vault p. 101
Keys from the Golden Vault p. 134,KGV,1,Keys from the Golden Vault p. 134
Keys from the Golden Vault p. 193,KGV,1,Keys from the Golden Vault p. 193
Bigby Presents: Glory of the Giants p. 110,BP:GOG,1,Bigby Presents: Glory of the Giants p. 110
Bigby Presents: Glory of the Giants p. 64,BP:GOG,1,Bigby Presents: Glory of the Giants p. 64
Bigby Presents: Glory of the Giants p. 86,BP:GOG,1,Bigby Presents: Glory of the Giants p. 86
The Book of Many Things p. 51,BOMT,1,The Book of Many Things p. 51
The Book of Many Things p. 55,BOMT,1,The Book of Many Things p. 55
The Book of Many Things p. 105,BOMT,1,The Book of Many Things p. 105
Vecna: Eve of Ruin p. 46,VEOR,1,Vecna: Eve of Ruin p. 46
Vecna: Eve of Ruin p. 6,VEOR,1,Vecna: Eve of Ruin p. 6
Vecna: Eve of Ruin p. 8,VEOR,1,Vecna: Eve of Ruin p. 8
Quests from the Infinite Staircase p. 189,QIS,1,Quests from the Infinite Staircase p. 189
Quests from the Infinite Staircase p. 193,QIS,1,Quests from the Infinite Staircase p. 193
"Phandelver and Below: The Shattered Obelisk p. 54,",PBTSO,1,"Phandelver and Below: The Shattered Obelisk p. 54,"
Phandelver and Below: The Shattered Obelisk p. 50,PBTSO,1,Phandelver and Below: The Shattered Obelisk p. 50
Phandelver and Below: The Shattered Obelisk p. 62,PBTSO,1,Phandelver and Below: The Shattered Obelisk p. 62
"Phandelver and Below: The Shattered Obelisk p. 41,",PBTSO,1,"Phandelver and Below: The Shattered Obelisk p. 41,"
Explorer's Guide to Wildemount p. 132,EGW,1,Explorer's Guide to Wildemount p. 132
Explorer's Guide to Wildemount p. 72,EGW,1,Explorer's Guide to Wildemount p. 72
Explorer's Guide to Wildemount p. 278,EGW,1,Explorer's Guide to Wildemount p. 278
Explorer's Guide to Wildemount p. 279,EGW,1,Explorer's Guide to Wildemount p. 279
Explorer's Guide to Wildemount p. 274,EGW,1,Explorer's Guide to Wildemount p. 274
"Player's Handbook (2014) p. 144,",PHB,1,"Player's Handbook (2014) p. 144,"
Unearthed Arcana: Modern Magic p. 4,UA,1,Unearthed Arcana: Modern Magic p. 4
Unearthed Arcana: Prestige Classes and Rune Magic p. 4,UA,1,Unearthed Arcana: Prestige Classes and Rune Magic p. 4
Unearthed Arcana: Prestige Classes and Rune Magic p. 6,UA,1,Unearthed Arcana: Prestige Classes and Rune Magic p. 6
Unearthed Arcana: The Artificer p. 5,UA,1,Unearthed Arcana: The Artificer p. 5
Player's Handbook (2014) p. 32,PHB,1,Player's Handbook (2014) p. 32
Player's Handbook (2014) p. 38,PHB,1,Player's Handbook (2014) p. 38
Player's Handbook (2014) p. 40,PHB,1,Player's Handbook (2014) p. 40
Player's Handbook (2014) p. 31,PHB,1,Player's Handbook (2014) p. 31
Player's Handbook (2014) p. 43,PHB,1,Player's Handbook (2014) p. 43
"Dungeon Master's Guide (2014) p. 286,",DMG,1,"Dungeon Master's Guide (2014) p. 286,"
"Volo's Guide to Monsters p. 108,",VGM,1,"Volo's Guide to Monsters p. 108,"
Volo's Guide to Monsters p. 119,VGM,1,Volo's Guide to Monsters p. 119
Volo's Guide to Monsters p. 111,VGM,1,Volo's Guide to Monsters p. 111
Volo's Guide to Monsters p. 116,VGM,1,Volo's Guide to Monsters p. 116
Volo's Guide to Monsters p. 120,VGM,1,Volo's Guide to Monsters p. 120
Mordenkainen's Tome of Foes p. 85,MTF,1,Mordenkainen's Tome of Foes p. 85
Mordenkainen's Tome of Foes p. 93,MTF,1,Mordenkainen's Tome of Foes p. 93
Acquisitions Incorporated p. 72,AI,1,Acquisitions Incorporated p. 72
"Player's Handbook (2014) p. 40,",PHB,1,"Player's Handbook (2014) p. 40,"
"Eberron: Rising from the Last War p. 29,",ERLW,1,"Eberron: Rising from the Last War p. 29,"
Eberron: Rising from the Last War p. 31,ERLW,1,Eberron: Rising from the Last War p. 31
"Eberron: Rising from the Last War p. 35,",ERLW,1,"Eberron: Rising from the Last War p. 35,"
Mythic Odysseys of Theros p. 18,MOT,1,Mythic Odysseys of Theros p. 18
Mythic Odysseys of Theros p. 20,MOT,1,Mythic Odysseys of Theros p. 20
Mythic Odysseys of Theros p. 22,MOT,1,Mythic Odysseys of Theros p. 22
Mythic Odysseys of Theros p. 24,MOT,1,Mythic Odysseys of Theros p. 24
Mythic Odysseys of Theros p. 26,MOT,1,Mythic Odysseys of Theros p. 26
Tasha's Cauldron of Everything p. 8,TCE,1,Tasha's Cauldron of Everything p. 8
Van Richten's Guide to Ravenloft p. 16,VRGR,1,Van Richten's Guide to Ravenloft p. 16
Van Richten's Guide to Ravenloft p. 18,VRGR,1,Van Richten's Guide to Ravenloft p. 18
Van Richten's Guide to Ravenloft p. 20,VRGR,1,Van Richten's Guide to Ravenloft p. 20
The Wild Beyond The Witchlight p. 12,WBW,1,The Wild Beyond The Witchlight p. 12
The Wild Beyond The Witchlight p. 13,WBW,1,The Wild Beyond The Witchlight p. 13
Fizban's Treasury of Dragons p. 10,FTD,1,Fizban's Treasury of Dragons p. 10
Fizban's Treasury of Dragons p. 11,FTD,1,Fizban's Treasury of Dragons p. 11
Fizban's Treasury of Dragons p. 12,FTD,1,Fizban's Treasury of Dragons p. 12
Strixhaven: A Curriculum of Chaos p. 29,SCC,1,Strixhaven: A Curriculum of Chaos p. 29
"Volo's Guide to Monsters p. 104,",VGM,1,"Volo's Guide to Monsters p. 104,"
"Eberron: Rising from the Last War p. 18,",ERLW,1,"Eberron: Rising from the Last War p. 18,"
"The Wild Beyond the Witchlight p. 12,",WBW,1,"The Wild Beyond the Witchlight p. 12,"
"The Wild Beyond the Witchlight p. 13,",WBW,1,"The Wild Beyond the Witchlight p. 13,"
"Volo's Guide to Monsters p. 111,",VGM,1,"Volo's Guide to Monsters p. 111,"
"Eberron: Rising from the Last War p. 33,",ERLW,1,"Eberron: Rising from the Last War p. 33,"
"Volo's Guide to Monsters p. 115,",VGM,1,"Volo's Guide to Monsters p. 115,"
"Volo's Guide to Monsters p. 118,",VGM,1,"Volo's Guide to Monsters p. 118,"
Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 10,SAS,1,Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 10
Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 11,SAS,1,Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 11
Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 12,SAS,1,Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 12
Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 13,SAS,1,Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 13
Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 14,SAS,1,Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 14
Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 15,SAS,1,Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 15
Dragonlance: Shadow of the Dragon Queen p. 27,D:SDQ,1,Dragonlance: Shadow of the Dragon Queen p. 27
Explorer's Guide to Wildemount p. 178,EGW,1,Explorer's Guide to Wildemount p. 178
Plane Shift: Kaladesh p. 17,PS:K,1,Plane Shift: Kaladesh p. 17
Plane Shift: Kaladesh p. 19,PS:K,1,Plane Shift: Kaladesh p. 19
Plane Shift: Kaladesh p. 23,PS:K,1,Plane Shift: Kaladesh p. 23
Plane Shift: Amonkhet p. 14,PS:A,1,Plane Shift: Amonkhet p. 14
Plane Shift: Amonkhet p. 17,PS:A,1,Plane Shift: Amonkhet p. 17
Plane Shift: Amonkhet p. 19,PS:A,1,Plane Shift: Amonkhet p. 19
Plane Shift: Amonkhet p. 21,PS:A,1,Plane Shift: Amonkhet p. 21
Plane Shift: Ixalan p. 16,PS:I,1,Plane Shift: Ixalan p. 16
Plane Shift: Ixalan p. 11,PS:I,1,Plane Shift: Ixalan p. 11
Plane Shift: Ixalan p. 15,PS:I,1,Plane Shift: Ixalan p. 15
Plane Shift: Ixalan p. 17,PS:I,1,Plane Shift: Ixalan p. 17
Unearthed Arcana: Eberron p. 1,UA,1,Unearthed Arcana: Eberron p. 1
Unearthed Arcana: Waterborne Adventures p. 1,UA,1,Unearthed Arcana: Waterborne Adventures p. 1
Unearthed Arcana: Gothic Heroes p. 1,UA,1,Unearthed Arcana: Gothic Heroes p. 1
"Player's Handbook (2014) p. 32,",PHB,1,"Player's Handbook (2014) p. 32,"
"Unearthed Arcana: Gothic Heroes p. 1,",UA,1,"Unearthed Arcana: Gothic Heroes p. 1,"
Unearthed Arcana: Eladrin And Gith p. 2,UA,1,Unearthed Arcana: Eladrin And Gith p. 2
Unearthed Arcana: Eladrin And Gith p. 3,UA,1,Unearthed Arcana: Eladrin And Gith p. 3
Unearthed Arcana: Eladrin And Gith p. 1,UA,1,Unearthed Arcana: Eladrin And Gith p. 1
Unearthed Arcana: Races Of Eberron p. 1,UA,1,Unearthed Arcana: Races Of Eberron p. 1
Unearthed Arcana: Races Of Eberron p. 3,UA,1,Unearthed Arcana: Races Of Eberron p. 3
Unearthed Arcana: Races Of Ravnica p. 5,UA,1,Unearthed Arcana: Races Of Ravnica p. 5
Unearthed Arcana: Folk of the Fey Wild p. 2,UA,1,Unearthed Arcana: Folk of the Fey Wild p. 2
Unearthed Arcana: Heroes of Krynn p. 1,UA,1,Unearthed Arcana: Heroes of Krynn p. 1
Unearthed Arcana: Wonders Of The Multiverse p. 1,UA,1,Unearthed Arcana: Wonders Of The Multiverse p. 1
Xanathar's Guide to Everything p. 73,XGE,1,Xanathar's Guide to Everything p. 73
Eberron: Rising from the Last War p. 52,ERLW,1,Eberron: Rising from the Last War p. 52
Van Richten's Guide to Ravenloft p. 22,VRGR,1,Van Richten's Guide to Ravenloft p. 22
Van Richten's Guide to Ravenloft p. 23,VRGR,1,Van Richten's Guide to Ravenloft p. 23
Van Richten's Guide to Ravenloft p. 25,VRGR,1,Van Richten's Guide to Ravenloft p. 25
Van Richten's Guide to Ravenloft p. 27,VRGR,1,Van Richten's Guide to Ravenloft p. 27
The Book of Many Things p. 49,BOMT,1,The Book of Many Things p. 49
Unearthed Arcana: 2020 Feats p. 1,UA,1,Unearthed Arcana: 2020 Feats p. 1
Unearthed Arcana: Giant Options p. 4,UA,1,Unearthed Arcana: Giant Options p. 4
Unearthed Arcana: Wonders Of The Multiverse p. 6,UA,1,Unearthed Arcana: Wonders Of The Multiverse p. 6
Unearthed Arcana: Wonders Of The Multiverse p. 7,UA,1,Unearthed Arcana: Wonders Of The Multiverse p. 7
Player's Handbook (2014) p. 127,PHB,1,Player's Handbook (2014) p. 127
Player's Handbook (2014) p. 128,PHB,1,Player's Handbook (2014) p. 128
Player's Handbook (2014) p. 129,PHB,1,Player's Handbook (2014) p. 129
Player's Handbook (2014) p. 132,PHB,1,Player's Handbook (2014) p. 132
Player's Handbook (2014) p. 134,PHB,1,Player's Handbook (2014) p. 134
Player's Handbook (2014) p. 136,PHB,1,Player's Handbook (2014) p. 136
Player's Handbook (2014) p. 137,PHB,1,Player's Handbook (2014) p. 137
Player's Handbook (2014) p. 140,PHB,1,Player's Handbook (2014) p. 140
Player's Handbook (2014) p. 141,PHB,1,Player's Handbook (2014) p. 141
Player's Handbook (2014) p. 133,PHB,1,Player's Handbook (2014) p. 133
Sword Coast Adventurer's Guide p. 147,SCAG,1,Sword Coast Adventurer's Guide p. 147
Sword Coast Adventurer's Guide p. 148,SCAG,1,Sword Coast Adventurer's Guide p. 148
Sword Coast Adventurer's Guide p. 150,SCAG,1,Sword Coast Adventurer's Guide p. 150
Sword Coast Adventurer's Guide p. 151,SCAG,1,Sword Coast Adventurer's Guide p. 151
Sword Coast Adventurer's Guide p. 152,SCAG,1,Sword Coast Adventurer's Guide p. 152
Sword Coast Adventurer's Guide p. 154,SCAG,1,Sword Coast Adventurer's Guide p. 154
Ghosts of Saltmarsh p. 29,GoS,1,Ghosts of Saltmarsh p. 29
Ghosts of Saltmarsh p. 31,GoS,1,Ghosts of Saltmarsh p. 31
Ghosts of Saltmarsh p. 33,GoS,1,Ghosts of Saltmarsh p. 33
Ghosts of Saltmarsh p. 34,GoS,1,Ghosts of Saltmarsh p. 34
Acquisitions Incorporated p. 48,AI,1,Acquisitions Incorporated p. 48
Acquisitions Incorporated p. 50,AI,1,Acquisitions Incorporated p. 50
Acquisitions Incorporated p. 51,AI,1,Acquisitions Incorporated p. 51
Baldur's Gate: Descent Into Avernus p. 204,BG:DA,1,Baldur's Gate: Descent Into Avernus p. 204
Baldur's Gate: Descent Into Avernus p. 203,BG:DA,1,Baldur's Gate: Descent Into Avernus p. 203
"Eberron: Rising from the Last War p. 53,",ERLW,1,"Eberron: Rising from the Last War p. 53,"
Mythic Odysseys of Theros p. 31,MOT,1,Mythic Odysseys of Theros p. 31
Van Richten's Guide to Ravenloft p. 34,VRGR,1,Van Richten's Guide to Ravenloft p. 34
Van Richten's Guide to Ravenloft p. 35,VRGR,1,Van Richten's Guide to Ravenloft p. 35
The Wild Beyond the Witchlight p. 9,WBW,1,The Wild Beyond the Witchlight p. 9
The Wild Beyond the Witchlight p. 11,WBW,1,The Wild Beyond the Witchlight p. 11
Strixhaven: A Curriculum of Chaos p. 31,SCC,1,Strixhaven: A Curriculum of Chaos p. 31
Strixhaven: A Curriculum of Chaos p. 32,SCC,1,Strixhaven: A Curriculum of Chaos p. 32
Strixhaven: A Curriculum of Chaos p. 33,SCC,1,Strixhaven: A Curriculum of Chaos p. 33
Strixhaven: A Curriculum of Chaos p. 35,SCC,1,Strixhaven: A Curriculum of Chaos p. 35
Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 7,SAS,1,Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 7
Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 8,SAS,1,Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 8
Dragonlance: Shadow of the Dragon Queen p. 30,D:SDQ,1,Dragonlance: Shadow of the Dragon Queen p. 30
Bigby Presents: Glory of the Giants p. 12,BP:GOG,1,Bigby Presents: Glory of the Giants p. 12
Bigby Presents: Glory of the Giants p. 14,BP:GOG,1,Bigby Presents: Glory of the Giants p. 14
The Book of Many Things p. 58,BOMT,1,The Book of Many Things p. 58
Explorer's Guide to Wildemount p. 200,EGW,1,Explorer's Guide to Wildemount p. 200
Explorer's Guide to Wildemount p. 202,EGW,1,Explorer's Guide to Wildemount p. 202
Plane Shift: Amonkhet p. 8,PS:A,1,Plane Shift: Amonkhet p. 8
Plane Shift: Amonkhet p. 10,PS:A,1,Plane Shift: Amonkhet p. 10
"Dungeon Master's Guide (2014) p. 63,",DMG,1,"Dungeon Master's Guide (2014) p. 63,"
"Monster Manual (2014) p. 12,",MM,1,"Monster Manual (2014) p. 12,"
"Monster Manual (2014) p. 13,",MM,1,"Monster Manual (2014) p. 13,"
"Monster Manual (2014) p. 306,",MM,1,"Monster Manual (2014) p. 306,"
"Monster Manual (2014) p. 84,",MM,1,"Monster Manual (2014) p. 84,"
"Monster Manual (2014) p. 114,",MM,1,"Monster Manual (2014) p. 114,"
"Monster Manual (2014) p. 117,",MM,1,"Monster Manual (2014) p. 117,"
Monster Manual (2014) p. 87,MM,1,Monster Manual (2014) p. 87
"Monster Manual (2014) p. 90,",MM,1,"Monster Manual (2014) p. 90,"
Monster Manual (2014) p. 104,MM,1,Monster Manual (2014) p. 104
"Monster Manual (2014) p. 107,",MM,1,"Monster Manual (2014) p. 107,"
"Monster Manual (2014) p. 110,",MM,1,"Monster Manual (2014) p. 110,"
Monster Manual (2014) p. 113,MM,1,Monster Manual (2014) p. 113
"Monster Manual (2014) p. 93,",MM,1,"Monster Manual (2014) p. 93,"
"Monster Manual (2014) p. 97,",MM,1,"Monster Manual (2014) p. 97,"
Monster Manual (2014) p. 116,MM,1,Monster Manual (2014) p. 116
"Monster Manual (2014) p. 100,",MM,1,"Monster Manual (2014) p. 100,"
"Monster Manual (2014) p. 281,",MM,1,"Monster Manual (2014) p. 281,"
"Monster Manual (2014) p. 19,",MM,1,"Monster Manual (2014) p. 19,"
"Monster Manual (2014) p. 21,",MM,1,"Monster Manual (2014) p. 21,"
"Monster Manual (2014) p. 22,",MM,1,"Monster Manual (2014) p. 22,"
Monster Manual (2014) p. 318,MM,1,Monster Manual (2014) p. 318
"Monster Manual (2014) p. 55,",MM,1,"Monster Manual (2014) p. 55,"
"Monster Manual (2014) p. 23,",MM,1,"Monster Manual (2014) p. 23,"
"Monster Manual (2014) p. 56,",MM,1,"Monster Manual (2014) p. 56,"
"Monster Manual (2014) p. 24,",MM,1,"Monster Manual (2014) p. 24,"
"Monster Manual (2014) p. 25,",MM,1,"Monster Manual (2014) p. 25,"
"Monster Manual (2014) p. 28,",MM,1,"Monster Manual (2014) p. 28,"
"Monster Manual (2014) p. 241,",MM,1,"Monster Manual (2014) p. 241,"
"Monster Manual (2014) p. 71,",MM,1,"Monster Manual (2014) p. 71,"
"Monster Manual (2014) p. 233,",MM,1,"Monster Manual (2014) p. 233,"
Monster Manual (2014) p. 233,MM,1,Monster Manual (2014) p. 233
Monster Manual (2014) p. 106,MM,1,Monster Manual (2014) p. 106
Monster Manual (2014) p. 109,MM,1,Monster Manual (2014) p. 109
"Monster Manual (2014) p. 34,",MM,1,"Monster Manual (2014) p. 34,"
"Monster Manual (2014) p. 35,",MM,1,"Monster Manual (2014) p. 35,"
"Monster Manual (2014) p. 36,",MM,1,"Monster Manual (2014) p. 36,"
"Monster Manual (2014) p. 37,",MM,1,"Monster Manual (2014) p. 37,"
"Monster Manual (2014) p. 38,",MM,1,"Monster Manual (2014) p. 38,"
"Monster Manual (2014) p. 72,",MM,1,"Monster Manual (2014) p. 72,"
"Monster Manual (2014) p. 39,",MM,1,"Monster Manual (2014) p. 39,"
"Monster Manual (2014) p. 40,",MM,1,"Monster Manual (2014) p. 40,"
"Monster Manual (2014) p. 168,",MM,1,"Monster Manual (2014) p. 168,"
"Monster Manual (2014) p. 41,",MM,1,"Monster Manual (2014) p. 41,"
"Monster Manual (2014) p. 42,",MM,1,"Monster Manual (2014) p. 42,"
Monster Manual (2014) p. 111,MM,1,Monster Manual (2014) p. 111
"Monster Manual (2014) p. 43,",MM,1,"Monster Manual (2014) p. 43,"
"Monster Manual (2014) p. 44,",MM,1,"Monster Manual (2014) p. 44,"
"Monster Manual (2014) p. 45,",MM,1,"Monster Manual (2014) p. 45,"
"Monster Manual (2014) p. 143,",MM,1,"Monster Manual (2014) p. 143,"
"Monster Manual (2014) p. 46,",MM,1,"Monster Manual (2014) p. 46,"
"Monster Manual (2014) p. 47,",MM,1,"Monster Manual (2014) p. 47,"
"Monster Manual (2014) p. 278,",MM,1,"Monster Manual (2014) p. 278,"
"Monster Manual (2014) p. 29,",MM,1,"Monster Manual (2014) p. 29,"
"Monster Manual (2014) p. 164,",MM,1,"Monster Manual (2014) p. 164,"
"Monster Manual (2014) p. 48,",MM,1,"Monster Manual (2014) p. 48,"
"Monster Manual (2014) p. 16,",MM,1,"Monster Manual (2014) p. 16,"
"Monster Manual (2014) p. 81,",MM,1,"Monster Manual (2014) p. 81,"
"Monster Manual (2014) p. 144,",MM,1,"Monster Manual (2014) p. 144,"
"Monster Manual (2014) p. 82,",MM,1,"Monster Manual (2014) p. 82,"
"Monster Manual (2014) p. 119,",MM,1,"Monster Manual (2014) p. 119,"
"Monster Manual (2014) p. 120,",MM,1,"Monster Manual (2014) p. 120,"
"Monster Manual (2014) p. 121,",MM,1,"Monster Manual (2014) p. 121,"
"Monster Manual (2014) p. 122,",MM,1,"Monster Manual (2014) p. 122,"
Monster Manual (2014) p. 225,MM,1,Monster Manual (2014) p. 225
Monster Manual (2014) p. 322,MM,1,Monster Manual (2014) p. 322
"Monster Manual (2014) p. 145,",MM,1,"Monster Manual (2014) p. 145,"
"Monster Manual (2014) p. 130,",MM,1,"Monster Manual (2014) p. 130,"
"Monster Manual (2014) p. 73,",MM,1,"Monster Manual (2014) p. 73,"
"Monster Manual (2014) p. 131,",MM,1,"Monster Manual (2014) p. 131,"
"Monster Manual (2014) p. 132,",MM,1,"Monster Manual (2014) p. 132,"
Monster Manual (2014) p. 154,MM,1,Monster Manual (2014) p. 154
"Monster Manual (2014) p. 265,",MM,1,"Monster Manual (2014) p. 265,"
"Monster Manual (2014) p. 134,",MM,1,"Monster Manual (2014) p. 134,"
"Monster Manual (2014) p. 169,",MM,1,"Monster Manual (2014) p. 169,"
"Monster Manual (2014) p. 135,",MM,1,"Monster Manual (2014) p. 135,"
"Monster Manual (2014) p. 136,",MM,1,"Monster Manual (2014) p. 136,"
"Monster Manual (2014) p. 139,",MM,1,"Monster Manual (2014) p. 139,"
"Monster Manual (2014) p. 140,",MM,1,"Monster Manual (2014) p. 140,"
"Monster Manual (2014) p. 242,",MM,1,"Monster Manual (2014) p. 242,"
"Monster Manual (2014) p. 147,",MM,1,"Monster Manual (2014) p. 147,"
Monster Manual (2014) p. 327,MM,1,Monster Manual (2014) p. 327
"Monster Manual (2014) p. 157,",MM,1,"Monster Manual (2014) p. 157,"
Monster Manual (2014) p. 161,MM,1,Monster Manual (2014) p. 161
"Monster Manual (2014) p. 161,",MM,1,"Monster Manual (2014) p. 161,"
"Monster Manual (2014) p. 58,",MM,1,"Monster Manual (2014) p. 58,"
"Monster Manual (2014) p. 171,",MM,1,"Monster Manual (2014) p. 171,"
Monster Manual (2014) p. 59,MM,1,Monster Manual (2014) p. 59
Monster Manual (2014) p. 95,MM,1,Monster Manual (2014) p. 95
"Monster Manual (2014) p. 177,",MM,1,"Monster Manual (2014) p. 177,"
"Monster Manual (2014) p. 172,",MM,1,"Monster Manual (2014) p. 172,"
"Monster Manual (2014) p. 174,",MM,1,"Monster Manual (2014) p. 174,"
"Monster Manual (2014) p. 175,",MM,1,"Monster Manual (2014) p. 175,"
"Monster Manual (2014) p. 282,",MM,1,"Monster Manual (2014) p. 282,"
"Monster Manual (2014) p. 238,",MM,1,"Monster Manual (2014) p. 238,"
"Monster Manual (2014) p. 180,",MM,1,"Monster Manual (2014) p. 180,"
"Monster Manual (2014) p. 181,",MM,1,"Monster Manual (2014) p. 181,"
"Monster Manual (2014) p. 182,",MM,1,"Monster Manual (2014) p. 182,"
"Monster Manual (2014) p. 183,",MM,1,"Monster Manual (2014) p. 183,"
"Monster Manual (2014) p. 184,",MM,1,"Monster Manual (2014) p. 184,"
"Monster Manual (2014) p. 187,",MM,1,"Monster Manual (2014) p. 187,"
"Monster Manual (2014) p. 188,",MM,1,"Monster Manual (2014) p. 188,"
"Monster Manual (2014) p. 189,",MM,1,"Monster Manual (2014) p. 189,"
"Monster Manual (2014) p. 74,",MM,1,"Monster Manual (2014) p. 74,"
"Monster Manual (2014) p. 190,",MM,1,"Monster Manual (2014) p. 190,"
"Monster Manual (2014) p. 75,",MM,1,"Monster Manual (2014) p. 75,"
"Monster Manual (2014) p. 191,",MM,1,"Monster Manual (2014) p. 191,"
"Monster Manual (2014) p. 192,",MM,1,"Monster Manual (2014) p. 192,"
"Monster Manual (2014) p. 193,",MM,1,"Monster Manual (2014) p. 193,"
"Monster Manual (2014) p. 194,",MM,1,"Monster Manual (2014) p. 194,"
